task,condition,first_action_position_mae,chunk_position_mae,first_action_gripper_accuracy,chunk_gripper_accuracy
put_the_cream_cheese_in_the_bowl,full,0.023583834369977314,0.03651020427544912,0.9986979166666666,0.999048133691152
put_the_cream_cheese_in_the_bowl,repeat_current_state,0.025716841220855713,0.04369755710164706,0.9869791666666666,0.9772412578264872
put_the_cream_cheese_in_the_bowl,zero_action_history,0.15832121670246124,0.09909846633672714,0.7486979166666666,0.8598130941390991
put_the_cream_cheese_in_the_bowl,cyclic_task_id,0.035879225780566536,0.08481152852376302,0.9986979166666666,0.9723952809969584
put_the_bowl_on_the_plate,full,0.02434217433134715,0.03582909951607386,0.99609375,0.9995597998301188
put_the_bowl_on_the_plate,repeat_current_state,0.025889973466595013,0.042950997749964394,0.9921875,0.9781651894251505
put_the_bowl_on_the_plate,zero_action_history,0.1577629198630651,0.10901554177204768,0.7369791666666666,0.8620355725288391
put_the_bowl_on_the_plate,cyclic_task_id,0.04105407123764356,0.11296075582504272,0.9895833333333334,0.9598520795504252
open_the_middle_drawer_of_the_cabinet,full,0.02122874992589156,0.0322416586180528,1.0,1.0
open_the_middle_drawer_of_the_cabinet,repeat_current_state,0.021942706778645515,0.03593572601675987,1.0,1.0
open_the_middle_drawer_of_the_cabinet,zero_action_history,0.16820897161960602,0.1344357132911682,1.0,1.0
open_the_middle_drawer_of_the_cabinet,cyclic_task_id,0.03348996862769127,0.09061847627162933,1.0,0.9997384945551554
open_the_top_drawer_and_put_the_bowl_inside,full,0.02453521763285001,0.04345207413037618,0.9908854166666666,0.9970729947090149
open_the_top_drawer_and_put_the_bowl_inside,repeat_current_state,0.02548038773238659,0.04761752113699913,0.9895833333333334,0.9866563280423483
open_the_top_drawer_and_put_the_bowl_inside,zero_action_history,0.16949660579363504,0.11845255146423976,0.828125,0.8848140438397726
open_the_top_drawer_and_put_the_bowl_inside,cyclic_task_id,0.04697169611851374,0.11673018336296082,0.9908854166666666,0.9404269854227701
push_the_plate_to_the_front_of_the_stove,full,0.019952574123938877,0.03661583736538887,1.0,1.0
push_the_plate_to_the_front_of_the_stove,repeat_current_state,0.0206137802451849,0.0405191940565904,1.0,1.0
push_the_plate_to_the_front_of_the_stove,zero_action_history,0.21198739111423492,0.14467543363571167,1.0,1.0
push_the_plate_to_the_front_of_the_stove,cyclic_task_id,0.042035394658644996,0.10267334431409836,0.99609375,0.9662902156511942
put_the_bowl_on_the_stove,full,0.021945370361208916,0.036627888679504395,1.0,0.9995536605517069
put_the_bowl_on_the_stove,repeat_current_state,0.024128407860795658,0.04268813754121462,0.98828125,0.9759864409764608
put_the_bowl_on_the_stove,zero_action_history,0.16419284045696259,0.11007236937681834,0.6796875,0.8478842973709106
put_the_bowl_on_the_stove,cyclic_task_id,0.04170668497681618,0.10076214621464412,0.9869791666666666,0.9500089287757874
