task,family,config_id,valid_phase_count,immediate_violation_rate,nominal_delayed_violation_rate,replay_pass_rate,qualifies
put_the_cream_cheese_in_the_bowl,target_shift,lead08_shift040mm,10,0.0,0.6,1.0,True
put_the_cream_cheese_in_the_bowl,target_shift,lead08_shift060mm,10,0.0,0.8,1.0,True
put_the_cream_cheese_in_the_bowl,target_shift,lead08_shift080mm,10,0.0,0.9,1.0,False
put_the_cream_cheese_in_the_bowl,target_shift,lead08_shift100mm,10,0.0,1.0,1.0,False
put_the_cream_cheese_in_the_bowl,target_shift,lead10_shift040mm,10,0.0,0.5,1.0,True
put_the_cream_cheese_in_the_bowl,target_shift,lead10_shift060mm,10,0.0,0.6,1.0,True
put_the_cream_cheese_in_the_bowl,target_shift,lead10_shift080mm,10,0.0,0.9,1.0,False
put_the_cream_cheese_in_the_bowl,target_shift,lead10_shift100mm,10,0.0,1.0,1.0,False
put_the_cream_cheese_in_the_bowl,target_shift,lead12_shift040mm,10,0.0,0.3,1.0,True
put_the_cream_cheese_in_the_bowl,target_shift,lead12_shift060mm,10,0.0,0.4,1.0,True
put_the_cream_cheese_in_the_bowl,target_shift,lead12_shift080mm,10,0.0,0.8,1.0,True
put_the_cream_cheese_in_the_bowl,target_shift,lead12_shift100mm,10,0.0,0.9,1.0,False
put_the_cream_cheese_in_the_bowl,target_shift,lead14_shift040mm,10,0.0,0.3,1.0,True
put_the_cream_cheese_in_the_bowl,target_shift,lead14_shift060mm,10,0.0,0.5,1.0,True
put_the_cream_cheese_in_the_bowl,target_shift,lead14_shift080mm,10,0.0,0.8,1.0,True
put_the_cream_cheese_in_the_bowl,target_shift,lead14_shift100mm,10,0.0,0.9,1.0,False
put_the_bowl_on_the_plate,target_shift,lead08_shift040mm,0,1.0,0.0,0.0,False
put_the_bowl_on_the_plate,target_shift,lead08_shift060mm,0,1.0,0.0,0.0,False
put_the_bowl_on_the_plate,target_shift,lead08_shift080mm,0,1.0,0.0,0.0,False
put_the_bowl_on_the_plate,target_shift,lead08_shift100mm,4,0.0,1.0,1.0,False
put_the_bowl_on_the_plate,target_shift,lead10_shift040mm,0,1.0,0.0,0.0,False
put_the_bowl_on_the_plate,target_shift,lead10_shift060mm,0,1.0,0.0,0.0,False
put_the_bowl_on_the_plate,target_shift,lead10_shift080mm,0,1.0,0.0,0.0,False
put_the_bowl_on_the_plate,target_shift,lead10_shift100mm,6,0.0,1.0,1.0,False
put_the_bowl_on_the_plate,target_shift,lead12_shift040mm,1,0.0,0.0,1.0,False
put_the_bowl_on_the_plate,target_shift,lead12_shift060mm,1,0.0,0.0,1.0,False
put_the_bowl_on_the_plate,target_shift,lead12_shift080mm,3,0.0,1.0,1.0,False
put_the_bowl_on_the_plate,target_shift,lead12_shift100mm,9,0.0,1.0,1.0,False
put_the_bowl_on_the_plate,target_shift,lead14_shift040mm,7,0.0,0.14285714285714285,1.0,False
put_the_bowl_on_the_plate,target_shift,lead14_shift060mm,7,0.0,0.7142857142857143,1.0,False
put_the_bowl_on_the_plate,target_shift,lead14_shift080mm,7,0.0,1.0,1.0,False
put_the_bowl_on_the_plate,target_shift,lead14_shift100mm,9,0.0,1.0,1.0,False
open_the_middle_drawer_of_the_cabinet,drawer_obstacle,offset-02_clear035mm,10,0.0,0.0,1.0,False
open_the_middle_drawer_of_the_cabinet,drawer_obstacle,offset-02_clear050mm,10,0.0,0.0,1.0,False
open_the_middle_drawer_of_the_cabinet,drawer_obstacle,offset-02_clear065mm,10,0.0,0.1,1.0,False
open_the_middle_drawer_of_the_cabinet,drawer_obstacle,offset-02_clear080mm,10,0.0,0.1,1.0,False
open_the_middle_drawer_of_the_cabinet,drawer_obstacle,offset+00_clear035mm,10,0.0,0.2,1.0,False
open_the_middle_drawer_of_the_cabinet,drawer_obstacle,offset+00_clear050mm,10,0.0,0.0,1.0,False
open_the_middle_drawer_of_the_cabinet,drawer_obstacle,offset+00_clear065mm,10,0.0,0.0,1.0,False
open_the_middle_drawer_of_the_cabinet,drawer_obstacle,offset+00_clear080mm,10,0.0,0.0,1.0,False
open_the_middle_drawer_of_the_cabinet,drawer_obstacle,offset+02_clear035mm,10,0.0,0.2,1.0,False
open_the_middle_drawer_of_the_cabinet,drawer_obstacle,offset+02_clear050mm,10,0.0,0.0,1.0,False
open_the_middle_drawer_of_the_cabinet,drawer_obstacle,offset+02_clear065mm,10,0.0,0.0,1.0,False
open_the_middle_drawer_of_the_cabinet,drawer_obstacle,offset+02_clear080mm,10,0.0,0.0,1.0,False
open_the_top_drawer_and_put_the_bowl_inside,drawer_obstacle,offset-02_clear035mm,10,0.0,0.0,1.0,False
open_the_top_drawer_and_put_the_bowl_inside,drawer_obstacle,offset-02_clear050mm,10,0.0,0.0,1.0,False
open_the_top_drawer_and_put_the_bowl_inside,drawer_obstacle,offset-02_clear065mm,10,0.0,0.1,1.0,False
open_the_top_drawer_and_put_the_bowl_inside,drawer_obstacle,offset-02_clear080mm,10,0.0,0.0,1.0,False
open_the_top_drawer_and_put_the_bowl_inside,drawer_obstacle,offset+00_clear035mm,10,0.0,0.1,1.0,False
open_the_top_drawer_and_put_the_bowl_inside,drawer_obstacle,offset+00_clear050mm,10,0.0,0.0,1.0,False
open_the_top_drawer_and_put_the_bowl_inside,drawer_obstacle,offset+00_clear065mm,10,0.0,0.1,1.0,False
open_the_top_drawer_and_put_the_bowl_inside,drawer_obstacle,offset+00_clear080mm,10,0.0,0.1,1.0,False
open_the_top_drawer_and_put_the_bowl_inside,drawer_obstacle,offset+02_clear035mm,10,0.0,0.0,1.0,False
open_the_top_drawer_and_put_the_bowl_inside,drawer_obstacle,offset+02_clear050mm,10,0.0,0.1,1.0,False
open_the_top_drawer_and_put_the_bowl_inside,drawer_obstacle,offset+02_clear065mm,10,0.0,0.0,1.0,False
open_the_top_drawer_and_put_the_bowl_inside,drawer_obstacle,offset+02_clear080mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress070_lateral000mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress070_lateral025mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress070_lateral050mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress070_lateral075mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress080_lateral000mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress080_lateral025mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress080_lateral050mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress080_lateral075mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress090_lateral000mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress090_lateral025mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress090_lateral050mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress090_lateral075mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress100_lateral000mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress100_lateral025mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress100_lateral050mm,10,0.0,0.0,1.0,False
push_the_plate_to_the_front_of_the_stove,swept_path_blocker,progress100_lateral075mm,10,0.0,0.0,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead08_lateral000mm,7,0.0,1.0,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead08_lateral025mm,7,0.0,0.8571428571428571,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead08_lateral050mm,7,0.0,1.0,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead08_lateral075mm,7,0.0,1.0,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead10_lateral000mm,8,0.0,0.875,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead10_lateral025mm,8,0.0,1.0,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead10_lateral050mm,8,0.0,1.0,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead10_lateral075mm,8,0.0,0.625,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead12_lateral000mm,9,0.0,1.0,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead12_lateral025mm,9,0.0,1.0,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead12_lateral050mm,9,0.0,1.0,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead12_lateral075mm,9,0.0,0.5555555555555556,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead14_lateral000mm,10,0.0,1.0,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead14_lateral025mm,10,0.0,0.9,1.0,False
put_the_bowl_on_the_stove,target_region_blocker,lead14_lateral050mm,10,0.0,0.6,1.0,True
put_the_bowl_on_the_stove,target_region_blocker,lead14_lateral075mm,10,0.0,0.7,1.0,True
