method,event_count,safe_success,cause_violation,retained_nominal_actions,new_non_nominal_actions,policy_calls,completion_steps,path_length
A_original,40,0.5,0.15,13.625,94.225,94.225,107.85,70.91480236798525
B0,40,0.3,0.15,0.0,151.75,151.75,151.75,102.07311429977418
B1,40,0.325,0.15,1.0,151.05,151.05,152.05,102.22300447821617
B2,40,0.3,0.15,2.0,155.125,155.125,157.125,106.09191426932811
B3,40,0.3,0.1,4.0,151.15,151.15,155.15,108.58237846493721
B4,40,0.35,0.2,8.0,134.15,134.15,142.15,96.22739913463593
B5,40,0.45,0.2,7.85,105.375,105.375,113.225,77.19547654017806
B6,40,0.225,0.1,5.55,158.875,158.875,164.425,112.12955505251884
N0,40,0.5,0.275,14.0,47.35,47.35,61.35,36.798817379772665
N_oracle,40,0.675,0.125,11.925,70.975,70.975,82.9,53.886745779961345
