actor_seed_counts,attempted_events,checks,clearance_delta_m,contributing_seeds_ge5,delayed_violation_rate,error_count,future_index,gate_distance,immediate_violation_rate,injection_contact_rate,interior_violation_fraction,magnitude_m,median_first_violation_offset,nonmonotonic_event_count,parameter_id,qualified,replay_rate,task,valid_events
"{""17"": 24, ""29"": 22, ""7"": 9}",55,"{""delayed_violation_in_030_080"": false, ""error_count_zero"": true, ""immediate_violation_le005"": true, ""injection_contact_rate_zero"": true, ""interior_violation_fraction_ge030"": true, ""median_first_violation_offset_ge3"": true, ""nonmonotonic_count_zero"": true, ""replay_100_percent"": true, ""two_actor_seeds_ge5"": true, ""valid_events_ge20"": true}",,3,0.12727272727272726,0,,0.17272727272727273,0.0,0.0,1.0,0.04,12.0,0,shift_040mm,False,1.0,put_the_cream_cheese_in_the_bowl,55
"{""17"": 24, ""29"": 22, ""7"": 9}",55,"{""delayed_violation_in_030_080"": true, ""error_count_zero"": true, ""immediate_violation_le005"": true, ""injection_contact_rate_zero"": true, ""interior_violation_fraction_ge030"": true, ""median_first_violation_offset_ge3"": true, ""nonmonotonic_count_zero"": true, ""replay_100_percent"": true, ""two_actor_seeds_ge5"": true, ""valid_events_ge20"": true}",,3,0.7090909090909091,0,,0.0,0.0,0.0,1.0,0.06,12.0,0,shift_060mm,True,1.0,put_the_cream_cheese_in_the_bowl,55
"{""17"": 24, ""29"": 22, ""7"": 9}",55,"{""delayed_violation_in_030_080"": false, ""error_count_zero"": true, ""immediate_violation_le005"": true, ""injection_contact_rate_zero"": true, ""interior_violation_fraction_ge030"": true, ""median_first_violation_offset_ge3"": true, ""nonmonotonic_count_zero"": true, ""replay_100_percent"": true, ""two_actor_seeds_ge5"": true, ""valid_events_ge20"": true}",,3,0.9636363636363636,0,,0.16363636363636358,0.0,0.0,1.0,0.08,12.0,0,shift_080mm,False,1.0,put_the_cream_cheese_in_the_bowl,55
"{""17"": 27, ""29"": 12, ""7"": 24}",63,"{""delayed_violation_in_030_080"": false, ""error_count_zero"": true, ""immediate_violation_le005"": true, ""injection_contact_rate_zero"": true, ""interior_violation_fraction_ge030"": false, ""median_first_violation_offset_ge3"": false, ""nonmonotonic_count_zero"": true, ""replay_100_percent"": true, ""two_actor_seeds_ge5"": true, ""valid_events_ge20"": true}",-0.01,3,0.0,0,6,1.6,0.0,0.0,0.0,,0.0,0,future_06__clearance_m010mm,False,1.0,put_the_bowl_on_the_stove,63
"{""17"": 27, ""29"": 12, ""7"": 24}",63,"{""delayed_violation_in_030_080"": false, ""error_count_zero"": true, ""immediate_violation_le005"": true, ""injection_contact_rate_zero"": true, ""interior_violation_fraction_ge030"": false, ""median_first_violation_offset_ge3"": false, ""nonmonotonic_count_zero"": true, ""replay_100_percent"": true, ""two_actor_seeds_ge5"": true, ""valid_events_ge20"": true}",0.0,3,0.0,0,6,1.6,0.0,0.0,0.0,,0.0,0,future_06__clearance_p000mm,False,1.0,put_the_bowl_on_the_stove,63
"{""17"": 27, ""29"": 12, ""7"": 24}",63,"{""delayed_violation_in_030_080"": false, ""error_count_zero"": true, ""immediate_violation_le005"": true, ""injection_contact_rate_zero"": true, ""interior_violation_fraction_ge030"": false, ""median_first_violation_offset_ge3"": false, ""nonmonotonic_count_zero"": true, ""replay_100_percent"": true, ""two_actor_seeds_ge5"": true, ""valid_events_ge20"": true}",0.01,3,0.0,0,6,1.6,0.0,0.0,0.0,,0.0,0,future_06__clearance_p010mm,False,1.0,put_the_bowl_on_the_stove,63
"{""17"": 27, ""29"": 12, ""7"": 24}",63,"{""delayed_violation_in_030_080"": false, ""error_count_zero"": true, ""immediate_violation_le005"": true, ""injection_contact_rate_zero"": true, ""interior_violation_fraction_ge030"": false, ""median_first_violation_offset_ge3"": true, ""nonmonotonic_count_zero"": true, ""replay_100_percent"": true, ""two_actor_seeds_ge5"": true, ""valid_events_ge20"": true}",-0.01,3,0.015873015873015872,0,9,0.584126984126984,0.0,0.0,0.0,,13.0,0,future_09__clearance_m010mm,False,1.0,put_the_bowl_on_the_stove,63
"{""17"": 27, ""29"": 12, ""7"": 24}",63,"{""delayed_violation_in_030_080"": false, ""error_count_zero"": true, ""immediate_violation_le005"": true, ""injection_contact_rate_zero"": true, ""interior_violation_fraction_ge030"": true, ""median_first_violation_offset_ge3"": true, ""nonmonotonic_count_zero"": true, ""replay_100_percent"": true, ""two_actor_seeds_ge5"": true, ""valid_events_ge20"": true}",0.0,3,0.015873015873015872,0,9,0.2841269841269841,0.0,0.0,1.0,,11.0,0,future_09__clearance_p000mm,False,1.0,put_the_bowl_on_the_stove,63
"{""17"": 27, ""29"": 12, ""7"": 24}",63,"{""delayed_violation_in_030_080"": false, ""error_count_zero"": true, ""immediate_violation_le005"": true, ""injection_contact_rate_zero"": true, ""interior_violation_fraction_ge030"": false, ""median_first_violation_offset_ge3"": false, ""nonmonotonic_count_zero"": true, ""replay_100_percent"": true, ""two_actor_seeds_ge5"": true, ""valid_events_ge20"": true}",0.01,3,0.0,0,9,1.6,0.0,0.0,0.0,,0.0,0,future_09__clearance_p010mm,False,1.0,put_the_bowl_on_the_stove,63
"{""17"": 4, ""29"": 5, ""7"": 9}",63,"{""delayed_violation_in_030_080"": false, ""error_count_zero"": false, ""immediate_violation_le005"": true, ""injection_contact_rate_zero"": true, ""interior_violation_fraction_ge030"": true, ""median_first_violation_offset_ge3"": true, ""nonmonotonic_count_zero"": true, ""replay_100_percent"": false, ""two_actor_seeds_ge5"": true, ""valid_events_ge20"": false}",-0.01,2,0.05555555555555555,45,12,2.0587301587301585,0.0,0.0,1.0,,5.0,0,future_12__clearance_m010mm,False,0.2857142857142857,put_the_bowl_on_the_stove,18
"{""17"": 4, ""29"": 5, ""7"": 9}",63,"{""delayed_violation_in_030_080"": false, ""error_count_zero"": false, ""immediate_violation_le005"": true, ""injection_contact_rate_zero"": true, ""interior_violation_fraction_ge030"": false, ""median_first_violation_offset_ge3"": false, ""nonmonotonic_count_zero"": true, ""replay_100_percent"": false, ""two_actor_seeds_ge5"": true, ""valid_events_ge20"": false}",0.0,2,0.0,45,12,3.414285714285714,0.0,0.0,0.0,,0.0,0,future_12__clearance_p000mm,False,0.2857142857142857,put_the_bowl_on_the_stove,18
"{""17"": 4, ""29"": 5, ""7"": 9}",63,"{""delayed_violation_in_030_080"": false, ""error_count_zero"": false, ""immediate_violation_le005"": true, ""injection_contact_rate_zero"": true, ""interior_violation_fraction_ge030"": false, ""median_first_violation_offset_ge3"": false, ""nonmonotonic_count_zero"": true, ""replay_100_percent"": false, ""two_actor_seeds_ge5"": true, ""valid_events_ge20"": false}",0.01,2,0.0,45,12,3.414285714285714,0.0,0.0,0.0,,0.0,0,future_12__clearance_p010mm,False,0.2857142857142857,put_the_bowl_on_the_stove,18
