cohort,support,method,defined_events,defined_actor_rows,cohort_events,global_events,coverage_of_cohort,coverage_of_global_48,safe_success,new_non_nominal_actions,actor_calls,mean_prefix_k,fallback_event_count,diagnostic_only,formal_positive_evidence_allowed,new_idea_generated
all_contaminated,restricted_support,action_disagreement,48,144,48,48,1.0,1.0,0.12499999999999999,226.75694444444443,64.29166666666667,15.541666666666666,0,True,False,False
all_contaminated,full_support,action_disagreement,48,144,48,48,1.0,1.0,0.12499999999999999,226.75694444444443,64.29166666666667,15.541666666666666,0,True,False,False
all_contaminated,restricted_support,fixed_delay_1,48,144,48,48,1.0,1.0,0.09722222222222221,244.79166666666666,67.66666666666667,3.0,0,True,False,False
all_contaminated,full_support,fixed_delay_1,48,144,48,48,1.0,1.0,0.09722222222222221,244.79166666666666,67.66666666666667,3.0,0,True,False,False
all_contaminated,restricted_support,fixed_delay_2,48,144,48,48,1.0,1.0,0.10416666666666667,243.1388888888889,67.16666666666667,4.0,0,True,False,False
all_contaminated,full_support,fixed_delay_2,48,144,48,48,1.0,1.0,0.10416666666666667,243.1388888888889,67.16666666666667,4.0,0,True,False,False
all_contaminated,restricted_support,fixed_delay_4,48,144,48,48,1.0,1.0,0.09027777777777778,244.4722222222222,66.85416666666667,6.0,0,True,False,False
all_contaminated,full_support,fixed_delay_4,48,144,48,48,1.0,1.0,0.09027777777777778,244.4722222222222,66.85416666666667,6.0,0,True,False,False
all_contaminated,restricted_support,fixed_delay_8,48,144,48,48,1.0,1.0,0.11805555555555554,230.8888888888889,65.85416666666667,10.0,0,True,False,False
all_contaminated,full_support,fixed_delay_8,48,144,48,48,1.0,1.0,0.11805555555555554,230.8888888888889,65.85416666666667,10.0,0,True,False,False
all_contaminated,restricted_support,immediate_fresh_h16,48,144,48,48,1.0,1.0,0.16666666666666666,228.88194444444446,67.85416666666667,2.0,0,True,False,False
all_contaminated,full_support,immediate_fresh_h16,48,144,48,48,1.0,1.0,0.16666666666666666,228.88194444444446,67.85416666666667,2.0,0,True,False,False
all_contaminated,restricted_support,k_last_observed_safe,28,84,48,48,0.5833333333333334,0.5833333333333334,0.08333333333333333,235.6428571428571,63.82142857142857,16.0,0,True,False,False
all_contaminated,full_support,k_last_observed_safe,28,84,48,48,0.5833333333333334,0.5833333333333334,0.12499999999999999,231.28472222222226,65.6875,10.166666666666666,20,True,False,False
all_contaminated,restricted_support,k_last_recoverable,21,63,48,48,0.4375,0.4375,0.38095238095238093,184.34920634920633,67.47619047619048,14.857142857142858,0,True,False,False
