cohort,method,restricted_safe_success,full_safe_success,restricted_events,full_events,full_fallback_events,estimand,diagnostic_only
all_contaminated,action_disagreement,0.12499999999999999,0.12499999999999999,48,48,0,event mean of three-actor means; restricted is method-defined support,True
all_contaminated,fixed_delay_1,0.09722222222222221,0.09722222222222221,48,48,0,event mean of three-actor means; restricted is method-defined support,True
all_contaminated,fixed_delay_2,0.10416666666666667,0.10416666666666667,48,48,0,event mean of three-actor means; restricted is method-defined support,True
all_contaminated,fixed_delay_4,0.09027777777777778,0.09027777777777778,48,48,0,event mean of three-actor means; restricted is method-defined support,True
all_contaminated,fixed_delay_8,0.11805555555555554,0.11805555555555554,48,48,0,event mean of three-actor means; restricted is method-defined support,True
all_contaminated,immediate_fresh_h16,0.16666666666666666,0.16666666666666666,48,48,0,event mean of three-actor means; restricted is method-defined support,True
all_contaminated,k_last_observed_safe,0.08333333333333333,0.12499999999999999,28,48,20,event mean of three-actor means; restricted is method-defined support,True
all_contaminated,k_last_recoverable,0.38095238095238093,0.19444444444444445,21,48,27,event mean of three-actor means; restricted is method-defined support,True
all_contaminated,velocity_phase,0.13888888888888887,0.13888888888888887,48,48,0,event mean of three-actor means; restricted is method-defined support,True
replay_valid_subset,action_disagreement,0.06862745098039215,0.06862745098039215,34,34,0,event mean of three-actor means; restricted is method-defined support,True
replay_valid_subset,fixed_delay_1,0.058823529411764705,0.058823529411764705,34,34,0,event mean of three-actor means; restricted is method-defined support,True
replay_valid_subset,fixed_delay_2,0.0392156862745098,0.0392156862745098,34,34,0,event mean of three-actor means; restricted is method-defined support,True
replay_valid_subset,fixed_delay_4,0.04901960784313725,0.04901960784313725,34,34,0,event mean of three-actor means; restricted is method-defined support,True
replay_valid_subset,fixed_delay_8,0.0784313725490196,0.0784313725490196,34,34,0,event mean of three-actor means; restricted is method-defined support,True
replay_valid_subset,immediate_fresh_h16,0.12745098039215685,0.12745098039215685,34,34,0,event mean of three-actor means; restricted is method-defined support,True
replay_valid_subset,k_last_observed_safe,0.08333333333333333,0.06862745098039215,28,34,6,event mean of three-actor means; restricted is method-defined support,True
replay_valid_subset,k_last_recoverable,0.4444444444444444,0.14705882352941174,9,34,25,event mean of three-actor means; restricted is method-defined support,True
replay_valid_subset,velocity_phase,0.0784313725490196,0.0784313725490196,34,34,0,event mean of three-actor means; restricted is method-defined support,True
